title,overview,genres,vote_average,vote_count,release_date,original_language,popularity,poster_path,budget,revenue,runtime
Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.","Action, Science Fiction, Adventure",8.364,34495,2010-07-15,en,83.952,/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg,160000000,825532764,148
Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,"Adventure, Drama, Science Fiction",8.417,32571,2014-11-05,en,140.241,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,165000000,701729206,169
The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.","Drama, Action, Crime, Thriller",8.512,30619,2008-07-16,en,130.643,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,185000000,1004558444,152
Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","Action, Adventure, Fantasy, Science Fiction",7.573,29815,2009-12-15,en,79.932,/kyeqWdyUXW608qlYkRqosgbbJyK.jpg,237000000,2923706026,162
The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","Science Fiction, Action, Adventure",7.71,29166,2012-04-25,en,98.082,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,220000000,1518815515,143
Deadpool,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.","Action, Adventure, Comedy",7.606,28894,2016-02-09,en,72.735,/zq8Cl3PNIDGU3iWNRoc5nEZ6pCe.jpg,58000000,783100000,108
Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.","Adventure, Action, Science Fiction",8.255,27713,2018-04-25,en,154.34,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,300000000,2052415039,149
Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",Drama,8.438,27238,1999-10-15,en,69.498,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,63000000,100853753,139
Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.","Action, Science Fiction, Adventure",7.906,26638,2014-07-30,en,33.255,/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,170000000,772776600,121
Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.","Thriller, Crime",8.488,25893,1994-09-10,en,74.862,/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,8500000,213900000,154
Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.","Comedy, Drama, Romance",8.477,25409,1994-06-23,en,92.693,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,55000000,677387716,142
Harry Potter and the Philosopher's Stone,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.","Adventure, Fantasy",7.916,25379,2001-11-16,en,185.482,/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,125000000,976475550,152
Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","Action, Science Fiction, Adventure",7.64,24874,2008-04-30,en,72.897,/78lPtwv72eTNqFW9COBYI0dWDJa.jpg,140000000,585174222,126
Django Unchained,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","Drama, Western",8.171,24672,2012-12-25,en,54.224,/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,100000000,425368238,165
The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.","Drama, Crime",8.702,24649,1994-09-23,en,122.61,/lyQBXzOQSuE59IsHyhrp0qIiPAz.jpg,25000000,28341469,142
Avengers: Endgame,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.","Adventure, Science Fiction, Action",8.263,23857,2019-04-24,en,91.756,/or06FN3Dka5tukK1e9sl16pB3iy.jpg,356000000,2800000000,181
The Matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","Action, Science Fiction",8.206,23815,1999-03-30,en,78.564,/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg,63000000,463517383,136
Titanic,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.","Drama, Romance",7.9,23637,1997-11-18,en,102.348,/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,200000000,2264162353,194
Joker,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.","Crime, Thriller, Drama",8.168,23425,2019-10-01,en,54.522,/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,55000000,1074458282,122
The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.","Adventure, Fantasy, Action",8.402,23323,2001-12-18,en,87.037,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,93000000,871368364,179
The Lord of the Rings: The Return of the King,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.","Adventure, Fantasy, Action",8.474,22334,2003-12-01,en,99.276,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,94000000,1118888979,201
Shutter Island,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.","Drama, Thriller, Mystery",8.2,22318,2010-02-14,en,56.595,/4GDy0PHYX3VRXUtwK5ysFbg3kEx.jpg,80000000,294800000,138
The Wolf of Wall Street,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.","Crime, Drama, Comedy",8.035,22222,2013-12-25,en,97.444,/34m2tygAYBGqA9MXKhRDtzYd4MR.jpg,100000000,392000000,180
Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","Action, Adventure, Science Fiction",7.276,21754,2015-04-22,en,96.565,/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,365000000,1405403694,141
Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.","Adventure, Action, Science Fiction",7.4,21541,2016-04-27,en,70.741,/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg,250000000,1155046416,147
The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.","Action, Crime, Drama, Thriller",7.777,21335,2012-07-17,en,76.914,/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg,250000000,1081041287,165
Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.","Action, Adventure, Science Fiction",6.928,21064,2013-04-18,en,61.06,/qhPtAc1TKbMPqNvcdXSOn9Bn7hZ.jpg,200000000,1215577205,130
Black Panther,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.","Action, Adventure, Science Fiction",7.39,21053,2018-02-13,en,43.665,/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,200000000,1349926083,135
Doctor Strange,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.","Action, Adventure, Fantasy",7.427,20935,2016-10-25,en,70.535,/uGBVj3bEbCoZbDjjl9wTxcygko1.jpg,180000000,676343174,115
Mad Max: Fury Road,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.","Action, Adventure, Science Fiction",7.582,20911,2015-05-13,en,78.319,/8tZYtuWezp8JbcsvHYO0O46tFbo.jpg,150000000,378858340,121
Inglourious Basterds,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.","Drama, Thriller, War",8.215,20746,2009-08-19,en,59.162,/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg,70000000,321457747,153
The Hunger Games,"Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which “Tributes” must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If she’s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching.","Science Fiction, Adventure, Fantasy",7.193,20636,2012-03-12,en,29.577,/yXCbOiVDCxO71zI7cuwBRXdftq8.jpg,75000000,694394724,142
Spider-Man: Homecoming,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.","Action, Adventure, Science Fiction, Drama",7.345,20507,2017-07-05,en,65.88,/c24sv2weTHPsmDa7jEMN0m2P3RT.jpg,175000000,880166924,133
Harry Potter and the Chamber of Secrets,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.","Adventure, Fantasy",7.721,20390,2002-11-13,en,121.699,/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,100000000,876688482,161
Guardians of the Galaxy Vol. 2,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,"Science Fiction, Adventure, Action",7.624,20353,2017-04-19,en,67.553,/y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg,200000000,863756051,137
The Lord of the Rings: The Two Towers,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.","Adventure, Fantasy, Action",8.385,20274,2002-12-18,en,78.73,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,79000000,926287400,179
Captain America: The First Avenger,"During World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.","Action, Adventure, Science Fiction",6.995,20269,2011-07-22,en,43.665,/vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg,140000000,370569774,124
Suicide Squad,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.","Action, Adventure, Fantasy",5.909,20097,2016-08-03,en,35.356,/xFw9RXKZDvevAGocgBK0zteto4U.jpg,175000000,746846894,123
Harry Potter and the Prisoner of Azkaban,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.","Adventure, Fantasy",8.02,20038,2004-05-31,en,124.386,/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg,130000000,789804554,141
Thor,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.","Adventure, Fantasy, Action",6.768,20023,2011-04-21,en,51.277,/prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg,150000000,449326618,115
Iron Man 2,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.","Adventure, Action, Science Fiction",6.835,19756,2010-04-28,en,84.445,/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg,200000000,623933331,124
Batman Begins,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.","Action, Crime, Drama",7.701,19561,2005-06-10,en,66.286,/4MpN4kIEqUjW8OPtOQJXlTdHiJV.jpg,150000000,374218673,140
Thor: Ragnarok,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela.","Action, Adventure, Science Fiction",7.595,19539,2017-10-02,en,45.2,/rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg,180000000,855301806,131
Inside Out,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Riley's guiding emotions— Joy, Fear, Anger, Disgust and Sadness—live in Headquarters, the control centre inside Riley's mind, where they help advise her through everyday life and tries to keep things positive, but the emotions conflict on how best to navigate a new city, house and school.","Animation, Family, Adventure, Drama, Comedy",7.922,19463,2015-06-09,en,107.292,/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg,175000000,857611174,95
Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.","Action, Adventure, Science Fiction, Thriller",6.682,19414,2015-06-06,en,54.089,/A0LZHXUzo5C60Oahvt7VxvwuzHw.jpg,150000000,1671537444,124
Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.","Crime, Mystery, Thriller",8.368,19403,1995-09-22,en,53.521,/6yoghtyTpznpBik8EngEmJskVUO.jpg,33000000,327311859,127
Harry Potter and the Goblet of Fire,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.","Adventure, Fantasy",7.816,19287,2005-11-16,en,134.276,/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg,150000000,895921036,157
Pirates of the Caribbean: The Curse of the Black Pearl,"Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her.","Adventure, Fantasy, Action",7.794,19233,2003-07-09,en,80.509,/z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg,140000000,655011224,143
Harry Potter and the Deathly Hallows: Part 2,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.","Fantasy, Adventure",8.105,19183,2011-07-12,en,110.974,/c54HpQmuwXjHq2C9wmoACjxoom3.jpg,125000000,1341511219,130
Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,"Adventure, Action, Science Fiction",8.204,19155,1977-05-25,en,88.559,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,11000000,775398007,121
Wonder Woman,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,"Action, Adventure, Fantasy",7.236,18954,2017-05-30,en,54.628,/imekS7f1OuHyUP2LAiTEM0zBzUz.jpg,149000000,822854286,141
Up,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.","Animation, Comedy, Family, Adventure",7.949,18857,2009-05-28,en,90.968,/vpbaStTMt8qqXaEgnOR2EE4DNJk.jpg,175000000,735099082,96
Ant-Man,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.","Science Fiction, Action, Adventure",7.082,18730,2015-07-14,en,37.692,/8YxOIPrabqkQCOKKbuxaz9IcqhO.jpg,130000000,519311965,117
The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.","Drama, Crime",8.707,18677,1972-03-14,en,158.448,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,6000000,245066411,175
The Martian,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.","Drama, Adventure, Science Fiction",7.678,18525,2015-09-30,en,76.0,/5BHuvQ6p9kfc091Z8RiFNhCwL4b.jpg,108000000,630600000,141
Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","Adventure, Comedy, Science Fiction",8.314,18442,1985-07-03,en,62.543,/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg,19000000,381109762,116
Star Wars: The Force Awakens,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.","Adventure, Action, Science Fiction",7.293,18352,2015-12-15,en,66.772,/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,245000000,2068223624,136
Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.","Action, Adventure, Science Fiction",7.99,18299,2021-12-15,en,186.065,/5weKu49pzJCt06OPpjvT80efnQj.jpg,200000000,1921847111,148
Harry Potter and the Order of the Phoenix,"Returning for his fifth year of study at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of students to defend themselves against the dark arts.","Adventure, Fantasy",7.686,18177,2007-07-08,en,117.168,/5aOyriWkPec0zUDxmHFP9qMmBaj.jpg,150000000,938212738,138
Harry Potter and the Half-Blood Prince,"As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.","Adventure, Fantasy",7.697,18127,2009-07-15,en,121.735,/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,250000000,933959197,153
Logan,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.","Action, Drama, Science Fiction",7.8,18116,2017-02-28,en,54.194,/fnbjcRDYn6YviCcePDnGdyAkYsB.jpg,97000000,619021436,137
Finding Nemo,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.","Animation, Family",7.824,18061,2003-05-30,en,55.456,/ggQ6o8X5984OCh3kZi2UIJQJY5y.jpg,94000000,940335536,100
It,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.","Horror, Fantasy",7.242,18018,2017-09-06,en,74.73,/9E2y5Q7WlCVNEhP5GiVTjhEhx1o.jpg,40000000,701800000,135
John Wick,Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.,"Action, Thriller",7.421,17923,2014-10-22,en,55.739,/fZPSd91yGE9fCcCe6OoQr6E3Bev.jpg,20000000,88761661,101
Fantastic Beasts and Where to Find Them,"In 1926, Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase, which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase, it sends the American wizarding authorities after Newt, and threatens to strain even further the state of magical and non-magical relations.","Fantasy, Adventure, Family",7.334,17892,2016-11-16,en,46.103,/h6NYfVUyM6CDURtZSnBpz647Ldd.jpg,180000000,809342332,132
Harry Potter and the Deathly Hallows: Part 1,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.","Adventure, Fantasy",7.763,17782,2010-11-17,en,111.984,/iGoXIpQb7Pot00EEdwpwPajheZ5.jpg,250000000,954305868,146
Coco,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.","Family, Animation, Fantasy, Music, Comedy, Adventure",8.222,17742,2017-10-27,en,166.578,/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg,175000000,800526015,105
Captain America: The Winter Soldier,"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.","Action, Adventure, Science Fiction",7.671,17692,2014-03-20,en,31.482,/tVFRpFw3xTedgPGqxW0AOI8Qhh0.jpg,170000000,714766572,136
Spider-Man,"After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man.","Fantasy, Action",7.279,17653,2002-05-01,en,63.478,/gh4cZbhZxyTbgxQPxD0dOudNPTn.jpg,139000000,821708551,121
WALL·E,"What if mankind had to leave Earth and somebody forgot to turn the last robot off? After hundreds of years doing what he was built for, WALL•E discovers a new purpose in life when he meets a sleek search robot named EVE. EVE comes to realize that WALL•E has inadvertently stumbled upon the key to the planet's future, and races back to space to report to the humans. Meanwhile, WALL•E chases EVE across the galaxy and sets into motion one of the most imaginative adventures ever brought to the big screen.","Animation, Family, Science Fiction",8.078,17446,2008-06-22,en,58.517,/hbhFnRzzg6ZDmm8YAmxBnQpQIPh.jpg,180000000,521311860,98
Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","Mystery, Thriller, Drama",7.892,17381,2014-10-01,en,46.611,/qymaJhucquUwjpb8oiqynMeXnID.jpg,61000000,369330363,149
The Hobbit: An Unexpected Journey,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.","Adventure, Fantasy, Action",7.339,17356,2012-12-12,en,83.524,/yHA9Fc37VmpUA5UncTxxo3rTGVA.jpg,250000000,1021103568,169
